section;subsection;element;Value
Overview;Authorship;Study title;Present and future distribution of bat hosts of sarbecoviruses: implications for conservation and public health
Overview;Authorship;Author names;"Renata L. Muylaert; Tigga Kingston; Jinhong Luo; Maurício Humberto Vancine; Nikolas Galli; Colin J. Carlson; Reju Sam John; Maria Cristina Rulli; David T. S. Hayman"
Overview;Authorship;Contact ;R.deLaraMuylaert@massey.ac.nz
Overview;Authorship;Study link;https://www.biorxiv.org/content/10.1101/2021.12.09.471691v1
Overview;Model objective;Model objective;Forecasting and transfer
Overview;Model objective;Target output;continuous occurrence probabilities and binary maps of potential presence
Overview;Focal Taxon;Focal Taxon;bats hosts of sarbecoviruses
Overview;Location;Location;World
Overview;Scale of Analysis;Spatial extent;-30, 160, -30, 70 (xmin, xmax, ymin, ymax)
Overview;Scale of Analysis;Spatial resolution;0.25 dd
Overview;Scale of Analysis;Temporal extent;Near-current and Future (2021-2100)
Overview;Scale of Analysis;Temporal resolution;Near-current, 2021-2040, 2041-2060, 2061-2080, 2081-2100
Overview;Scale of Analysis;Boundary;Terrestrial areas of the world
Overview;Biodiversity data;Observation type;Human observation of occurrences
Overview;Biodiversity data;Response data type;presence
Overview;Predictors;Predictor types;"bioclimatic; karst; forest cover"
Overview;Hyptheses;Hypotheses;Implications for the conservation and public health through evaluation of species distribution change in response to climatic, karst, and forest cover.
Overview;Assumptions;Model assumptions;"Bats occur within their bioregions where they occur, and around their highest density of occurrence points (MSDMs)
Bat distribution is driven bioclimatic covariates, karst and native forest cover. Accessibility bias partially drives observed occurrences. Sampling bias is minimized by filtering, spatial thinning and minimal occurrences for inclusion criteria (N=40)."
Overview;Algorithms;Modelling techniques;Maxent
Overview;Algorithms;Model complexity;Six follwoing covariates were used bio 1, bio 4, bio 12, bio 15, karstm, primf tif files
Overview;Algorithms;Model averaging;TSS-weighted averaging
Overview;Workflow;Model workflow;ENMTML workflow
Overview;Software;Software;R 4
Overview;Software;Code availability;https://github.com/renatamuy/dynamic
Overview;Software;Data availability;https://drive.google.com/drive/folders/1kBAi4eIGYRLXF7HLBc7QjpqyH4mHBEuu?usp=sharing
Data;Biodiversity data;Taxon names;Figure S2
Data;Biodiversity data;Taxonomic reference system;"Wilson D, Mittermeier R, editors. Handbook of the Mammals of the World. Barcelona: Springer; 2019."
Data;Biodiversity data;Ecological level;assemblage-level, species-level
Data;Biodiversity data;Data sources;spocc + Darkcides v01 + Rulli et al. (2020) + Luo et al. (2013)
